trialNumber;fingerIndex;targetForce;tolerance;deadline;result;;;
1;1;1;0.2;1.8;1.8;0;;
2;1;1;0.2;2.7;2.135566;1;;
3;1;1;0.2;2.7;0.8538756;1;;
4;1;1;0.2;2.7;0.998498;1;;
5;1;1;0.2;1.35;0.7223902;1;1;
6;1;1;0.2;1.35;0.5576344;1;1;
7;1;1;0.2;1.35;0.9264603;1;1;
8;1;1;0.2;0.675;0.675;0;0.6666666667;
9;1;1;0.2;1.0125;0.4729862;1;0.6666666667;0.875
10;1;1;0.2;1.0125;1.0125;0;0.3333333333;0.75
11;1;1;0.2;1.18125;0.8823662;1;0.6666666667;0.75
12;1;1;0.2;1.18125;0.6702576;1;0.6666666667;0.75
13;1;1;0.2;1.18125;0.7898197;1;1;0.75
14;1;1;0.2;0.5906249;0.5906249;0;0.6666666667;0.625
15;1;1;0.2;0.8859374;0.8859374;0;0.3333333333;0.5
16;1;1;0.2;1.033594;0.4790382;1;0.3333333333;0.625
17;1;1;0.2;1.033594;0.305994;1;0.6666666667;0.625
18;1;1;0.2;1.033594;0.7708454;1;1;0.75
19;1;1;0.2;0.5167968;0.4898338;1;1;0.75
20;1;1;0.2;0.5167968;0.5167968;0;0.6666666667;0.625
21;1;1;0.2;0.7751952;0.7751952;0;0.3333333333;0.5
22;1;1;0.2;0.9043944;0.6907597;1;0.3333333333;0.625
23;1;1;0.2;0.9043944;0.2982674;1;0.6666666667;0.75
24;1;1;0.2;0.9043944;0.8874741;1;1;0.75
25;1;1;0.2;0.4521972;0.4521972;0;0.6666666667;0.625
26;1;1;0.2;0.6782959;0.6782959;0;0.3333333333;0.5
27;1;1;0.2;0.7913451;0.7913451;0;0;0.375
28;1;1;0.2;0.8478698;0.7385216;1;0.3333333333;0.5
29;1;1;0.2;0.8478698;0.5212021;1;0.6666666667;0.625
30;1;1;0.2;0.8478698;0.2893372;1;1;0.625
31;1;1;0.2;0.4239349;0.4239349;0;0.6666666667;0.5
32;1;1;0.2;0.6359023;0.4294014;1;0.6666666667;0.5
33;1;1;0.2;0.6359023;0.3943291;1;0.6666666667;0.625
34;1;1;0.2;0.6359023;0.3955803;1;1;0.75
35;1;1;0.2;0.3179511;0.3179511;0;0.6666666667;0.75
36;1;1;0.2;0.4769267;0.4769267;0;0.3333333333;0.625
37;1;1;0.2;0.5564145;0.4940414;1;0.3333333333;0.625
38;1;1;0.2;0.5564145;0.5564145;0;0.3333333333;0.5
39;1;1;0.2;0.5961584;0.5961584;0;0.3333333333;0.5
40;1;1;0.2;0.6160303;0.6160303;0;0;0.375
41;1;1;0.2;0.6259663;0.6059761;1;0.3333333333;0.375
42;1;1;0.2;0.6259663;0.526825;1;0.6666666667;0.375
43;1;1;0.2;0.6259663;0.6259663;0;0.6666666667;0.375
44;1;1;0.2;0.6309343;0.6309343;0;0.3333333333;0.375
45;1;1;0.2;0.6334183;0.5490265;1;0.3333333333;0.375
46;1;1;0.2;0.6334183;0.4366531;1;0.6666666667;0.5
47;1;1;0.2;0.6334183;0.4099922;1;1;0.625
48;1;1;0.2;0.3167092;0.3167092;0;0.6666666667;0.625
49;1;1;0.2;0.4750637;0.4754105;1;0.6666666667;0.625
50;1;1;0.2;0.4750637;0.4750637;0;0.3333333333;0.5
51;1;1;0.2;0.5542411;0.4364243;1;0.6666666667;0.625
52;1;1;0.2;0.5542411;0.5542411;0;0.3333333333;0.625
53;1;1;0.2;0.5938297;0.3990746;1;0.6666666667;0.625
54;1;1;0.2;0.5938297;0.5938297;0;0.3333333333;0.5
55;1;1;0.2;0.613624;0.48843;1;0.6666666667;0.5
56;1;1;0.2;0.613624;0.613624;0;0.3333333333;0.5
57;1;1;0.2;0.6235211;0.6235211;0;0.3333333333;0.375
58;1;1;0.2;0.6284697;0.6284697;0;0;0.375
59;1;1;0.2;0.630944;0.5252495;1;0.3333333333;0.375
60;1;1;0.2;0.630944;0.630944;0;0.3333333333;0.375
61;1;1;0.2;0.6321812;0.6321812;0;0.3333333333;0.25
62;1;1;0.2;0.6327997;0.6327997;0;0;0.25
63;1;1;0.2;0.633109;0.5581207;1;0.3333333333;0.25
64;1;1;0.2;0.633109;0.633109;0;0.3333333333;0.25
65;1;1;0.2;0.6332637;0.6332637;0;0.3333333333;0.25
66;1;1;0.2;0.633341;0.633341;0;0;0.25
67;1;1;0.2;0.6333797;0.5779953;1;0.3333333333;0.25
68;1;1;0.2;0.6333797;0.6333797;0;0.3333333333;0.25
69;1;1;0.2;0.633399;0.633399;0;0.3333333333;0.25
70;1;1;0.2;0.6334087;0.6334087;0;0;0.25
71;1;1;0.2;0.6334135;0.5994873;1;0.3333333333;0.25
72;1;1;0.2;0.6334135;0.6334135;0;0.3333333333;0.25
73;1;1;0.2;0.6334159;0.6334159;0;0.3333333333;0.25
74;1;1;0.2;0.6334171;0.6334171;0;0;0.25
75;1;1;0.2;0.6334177;0.5295486;1;0.3333333333;0.25
76;1;1;0.2;0.6334177;0.6334177;0;0.3333333333;0.25
77;1;1;0.2;0.633418;0.633418;0;0.3333333333;0.25
78;1;1;0.2;0.6334182;0.6334182;0;0;0.25
79;1;1;0.2;0.6334183;0.6334183;0;0;0.125
80;1;1;0.2;0.6334183;0.6334183;0;0;0.125
81;1;1;0.2;0.6334183;0.5435715;1;0.3333333333;0.25
82;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
83;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.125
84;1;1;0.2;0.6334183;0.6334183;0;0;0.125
85;1;1;0.2;0.6334183;0.4999695;1;0.3333333333;0.25
86;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
87;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
88;1;1;0.2;0.6334183;0.6334183;0;0;0.25
89;1;1;0.2;0.6334183;0.4651413;1;0.3333333333;0.25
90;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
91;1;1;0.2;0.6334183;0.5684967;1;0.6666666667;0.375
92;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
93;1;1;0.2;0.6334183;0.6075439;1;0.6666666667;0.375
94;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
95;1;1;0.2;0.6334183;0.3783188;1;0.6666666667;0.5
96;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.5
97;1;1;0.2;0.6334183;0.5177078;1;0.6666666667;0.5
98;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.5
99;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
100;1;1;0.2;0.6334183;0.6334183;0;0;0.375
101;1;1;0.2;0.6334183;0.6334183;0;0;0.25
102;1;1;0.2;0.6334183;0.6334183;0;0;0.25
103;1;1;0.2;0.6334183;0.6334183;0;0;0.125
104;1;1;0.2;0.6334183;0.6334183;0;0;0.125
105;1;1;0.2;0.6334183;0.5799942;1;0.3333333333;0.125
106;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.125
107;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.125
108;1;1;0.2;0.6334183;0.6334183;0;0;0.125
109;1;1;0.2;0.6334183;0.6334183;0;0;0.125
110;1;1;0.2;0.6334183;0.6334183;0;0;0.125
111;1;1;0.2;0.6334183;0.6334183;0;0;0.125
112;1;1;0.2;0.6334183;0.6334183;0;0;0.125
113;1;1;0.2;0.6334183;0.6169586;1;0.3333333333;0.125
114;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.125
115;1;1;0.2;0.6334183;0.4966583;1;0.6666666667;0.25
116;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
117;1;1;0.2;0.6334183;0.5255356;1;0.6666666667;0.375
118;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
119;1;1;0.2;0.6334183;0.4466705;1;0.6666666667;0.5
120;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.5
121;1;1;0.2;0.6334183;0.5844879;1;0.6666666667;0.5
122;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.5
123;1;1;0.2;0.6334183;0.3915482;1;0.6666666667;0.5
124;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.5
125;1;1;0.2;0.6334183;0.4841919;1;0.6666666667;0.5
126;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.5
127;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
128;1;1;0.2;0.6334183;0.6334183;0;0;0.375
129;1;1;0.2;0.6334183;0.528389;1;0.3333333333;0.375
130;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
131;1;1;0.2;0.6334183;0.6295242;1;0.6666666667;0.375
132;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.375
133;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
134;1;1;0.2;0.6334183;0.6334183;0;0;0.25
135;1;1;0.2;0.6334183;0.6334183;0;0;0.25
136;1;1;0.2;0.6334183;0.6334183;0;0;0.25
137;1;1;0.2;0.6334183;0.6334183;0;0;0.125
138;1;1;0.2;0.6334183;0.6334183;0;0;0.125
139;1;1;0.2;0.6334183;0.5579605;1;0.3333333333;0.125
140;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.125
141;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.125
142;1;1;0.2;0.6334183;0.6334183;0;0;0.125
143;1;1;0.2;0.6334183;0.5570679;1;0.3333333333;0.25
144;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
145;1;1;0.2;0.6334183;0.6334183;0;0.3333333333;0.25
146;1;1;0.2;0.6334183;0.6334183;0;0;0.25
147;1;1;0.2;0.6334183;0.6334183;0;0;0.125
148;1;1;0.2;0.6334183;0.6334183;0;0;0.125
149;1;1;0.2;0.6334183;0.6334183;0;0;0.125
150;1;1;0.2;0.6334183;0.6334183;0;0;0.125
151;1;1;0.2;0.6334183;0.6334183;0;0;0
152;1;1;0.2;0.6334183;0.6334183;0;0;0
153;1;1;0.2;0.6334183;0.6334183;0;0;0
154;1;1;0.2;0.6334183;0.6334183;0;0;0
